gene_name	gene_claim_name	entrez_id	interaction_claim_source	interaction_types	drug_claim_name	drug_claim_primary_name	drug_name	drug_chembl_id	PMIDs
CCR5	TTDS00326	1234	TTD	binder	DPR000155	SCH-C	CHEMBL78535	CHEMBL78535	
IGF1R	P08069	3480	TEND		MECASERMIN	MECASERMIN	MECASERMIN	CHEMBL1201716	
CHRM1	P11229	1128	TEND		CARBACHOL	CARBACHOL			
BRAF	BRAF	673	CIViC		DABRAFENIB	DABRAFENIB	DABRAFENIB	CHEMBL2028663	23020132,22608338,25399551,23463675,25673644,27283860,27048246,24583796,23031422
DYRK1A	2009	1859	GuideToPharmacologyInteractions	inhibitor	8127	COMPOUND 3B [PMID: 23454515]			
GRM3	GPRC1C	2913	ChemblInteractions	agonist	CHEMBL3545270	LY2969822	LY2969822	CHEMBL3545270	
RARB	RARB	5915	NCI		RETINOIC ACID	RETINOIC ACID	TRETINOIN	CHEMBL38	17001699
EGFR	P00533	1956	TdgClinicalTrial		GEFITINIB	GEFITINIB	GEFITINIB	CHEMBL939	
CACNA1E	CACH6	777	ChemblInteractions	modulator	CHEMBL1059	PREGABALIN	PREGABALIN	CHEMBL1059	
FGFR2	FGFR2	2263	CIViC		PONATINIB	PONATINIB	PONATINIB	CHEMBL1171837	26574622,24550739
SSTR1	355	6751	GuideToPharmacologyInteractions	antagonist	2030	SRA880	OBELIN	CHEMBL251541	
DRD4	217	1815	GuideToPharmacologyInteractions	agonist	80	WAY-100635			
PTGER1	PTGER1	5731	NCI		CAFFEINE	CAFFEINE	CAFFEINE	CHEMBL113	10537077
TRPV1	507	7442	GuideToPharmacologyInteractions	channel blocker	6347	AMG 9810	CHEMBL195789	CHEMBL195789	
DRD1	DRD1	1812	ChemblInteractions	agonist	CHEMBL1275	PERGOLIDE MESYLATE	PERGOLIDE MESYLATE	CHEMBL1275	
ADORA3	21	140	GuideToPharmacologyInteractions	agonist	5601	MRS3558	CHEMBL175543	CHEMBL175543	
IL2RA	IL2RA	3559	NCI		FLUTAMIDE	FLUTAMIDE	FLUTAMIDE	CHEMBL806	11312147
PIK3CG	2156	5294	GuideToPharmacologyInteractions	inhibitor	8527	AZD8186	AZD-8186	CHEMBL3545424	
KIT	P10721	3815	TdgClinicalTrial		AXITINIB	AXITINIB	AXITINIB	CHEMBL1289926	
ITGAL	P20701	3683	TdgClinicalTrial		ANTITHYMOCYTE GLOBULIN	ANTITHYMOCYTE GLOBULIN	BELAPERIDONE	CHEMBL2105926	
SYK	2230	6850	GuideToPharmacologyInteractions	inhibitor	9388	GSK143			
SGK2	1535	10110	GuideToPharmacologyInteractions	inhibitor	8040	GSK650394	GSK-650394	CHEMBL558642	
EGFR	EGFR	1956	ClearityFoundationClinicalTrial		VANDETANIB	VANDETANIB	VANDETANIB	CHEMBL24828	
TOP2B	TTDS00080	7155	TTD	inhibitor	DAP001001	PEFLOXACIN	PEFLOXACIN	CHEMBL267648	
ADRA2A	25	150	GuideToPharmacologyInteractions	antagonist	56	TERGURIDE	TERGURIDE	CHEMBL73151	
ADORA3	ADORA3	140	ChemblInteractions	antagonist	CHEMBL113	CAFFEINE	CAFFEINE	CHEMBL113	
SLC2A4	SLC2A4	6517	NCI		HGF	HGF			18362143
GNRHR	256	2798	GuideToPharmacologyInteractions	agonist	1162	GNRH I	GONADORELIN ACETATE	CHEMBL1200511	
CHRND	ACHRD	1144	ChemblInteractions	antagonist	CHEMBL1200993	GALLAMINE TRIETHIODIDE	GALLAMINE TRIETHIODIDE	CHEMBL1200993	
ALK	ALK	238	MyCancerGenome	inhibitor	CRIZOTINIB	CRIZOTINIB	CRIZOTINIB	CHEMBL601719	
FGFR1	FGFR1	2260	NCI		FINASTERIDE	FINASTERIDE	FINASTERIDE	CHEMBL710	10386468
ACE	1613	1636	GuideToPharmacologyInteractions	inhibitor	6373	PERINDOPRILAT	PERINDOPRILAT	CHEMBL1201368	
F2	P00734	2147	TdgClinicalTrial		XIMELAGATRAN	XIMELAGATRAN	XIMELAGATRAN	CHEMBL522038	
PDE4B	DPDE4	5142	ChemblInteractions	inhibitor	CHEMBL1200875	FLAVOXATE HYDROCHLORIDE	FLAVOXATE HYDROCHLORIDE	CHEMBL1200875	
THBS1	THBS1	7057	NCI		5-AZA-2&APOS;-DEOXYCYTIDINE	5-AZA-2&APOS;-DEOXYCYTIDINE	DECITABINE	CHEMBL1201129	14559817
H2AFX	H2AFX	3014	NCI		TEMOZOLOMIDE	TEMOZOLOMIDE	TEMOZOLOMIDE	CHEMBL810	16024643
DRD2	215	1813	GuideToPharmacologyInteractions	antagonist	5501	SULPIRIDE	SULPIRIDE	CHEMBL26	
PIK3CB	PIK3CB	5291	NCI		BIOFLAVONOID	BIOFLAVONOID	RUTIN	CHEMBL226335	16619521
DDIT3	DDIT3	1649	NCI		STAUROSPORINE	STAUROSPORINE	STAUROSPORINE	CHEMBL388978	17167033
	331		GuideToPharmacologyInteractions	agonist	1807	[PHE23]PTH-(1-34) (HUMAN)			
FABP3	2533	2170	GuideToPharmacologyInteractions	inhibitor	8797	COMPOUND 13 [PMID: 17502136]			
IDH1	IDH1	3417	CKB		Lomustine	Lomustine	LOMUSTINE	CHEMBL514	26762204
HDAC6	2618	10013	GuideToPharmacologyInteractions	inhibitor	7498	BUFEXAMAC	BUFEXAMAC	CHEMBL94394	
BACE1	2330	23621	GuideToPharmacologyInteractions	inhibitor	6944	OXAZINE 89	CHEMBL2347208	CHEMBL2347208	
NPR1	P16066	4881	TEND		NESIRITIDE	NESIRITIDE	NESIRITIDE	CHEMBL1201668	
BRAF	BRAF	673	CKB		Everolimus	Everolimus	EVEROLIMUS	CHEMBL1908360	23629727,27797976,20664174,20664172,27217440
TUBB1	Q9H4B7	81027	TdgClinicalTrial		TASIDOTIN	TASIDOTIN	TASIDOTIN	CHEMBL2111109	
CXCL2	TTDC00225	2920	TTD	modulator	DCL000860	LAQUINAMOD			
CPT2	1376	1376	GuideToPharmacologyInteractions	inhibitor	9000	(R)-ARN2508			
TUBA1A	TUBA3	7846	ChemblInteractions	inhibitor	CHEMBL1201748	CABAZITAXEL	CABAZITAXEL	CHEMBL1201748	
KLK7	2377	5650	GuideToPharmacologyInteractions	inhibitor	8488	COMPOUND 3 [PMID: 23849879]			
GP1BA	2811	2811	GuideToPharmacologyInteractions	inhibitor	8721	CCG-4986			
GABRA5	GABRA5	2558	ChemblInteractions	positive allosteric modulator	CHEMBL448	PENTOBARBITAL	PENTOBARBITAL	CHEMBL448	
FGFR1	FGFR1	2260	CKB		AZD8055	AZD8055	AZD-8055	CHEMBL1801204	26359452
HTR2A	HTR2	3356	ChemblInteractions	antagonist	CHEMBL1200916	THIORIDAZINE HYDROCHLORIDE	THIORIDAZINE HYDROCHLORIDE	CHEMBL1200916	
HTR2B	7	3357	GuideToPharmacologyInteractions	agonist	109	CGS-12066			
HTR1F	5	3355	GuideToPharmacologyInteractions	agonist	14	GR 127935	GR-127935	CHEMBL15928	
AXL	1835	558	GuideToPharmacologyInteractions	inhibitor	8247	LDC1267			
CBLC	CBLC	23624	CKB		N/A	N/A			17671213
GRIN1	Q05586	2902	TdgClinicalTrial		NEU-2000	NEU-2000			
C8G	733	733	GuideToPharmacologyInteractions	inhibitor	4151	CARBENOXOLONE	CARBENOXOLONE	CHEMBL499915	
GABRA2	405	2555	GuideToPharmacologyInteractions	allosteric modulator	4179	DMCM	CHEMBL17468	CHEMBL17468	
PDE4A	P27815	5141	TEND		MILRINONE	MILRINONE	MILRINONE	CHEMBL189	
CHRM2	P08172	1129	TdgClinicalTrial		HOMATROPINE METHYLBROMIDE	HOMATROPINE METHYLBROMIDE	HOMATROPINE METHYLBROMIDE	CHEMBL1200851	
SLC12A3	TTDS00117	6559	TTD	blocker	DAP000751	POLYTHIAZIDE	POLYTHIAZIDE	CHEMBL1587	
PSMD7	PSMD7	5713	NCI		PROTEASOME INHIBITOR	PROTEASOME INHIBITOR			15221960
OPRD1	TTDS00128	4985	TTD	agonist	DAP000253	HYDROCODONE	HYDROCODONE	CHEMBL1457	
TUBA3D	TUBA2	113457	ChemblInteractions	inhibitor	CHEMBL2110725	VINFLUNINE	VINFLUNINE	CHEMBL2110725	
MAP2K1	MAP2K1	5604	CKB		Cetuximab	Cetuximab	CETUXIMAB	CHEMBL1201577	26644315,27312529,28179366
AKR1B1P4	423	390402	GuideToPharmacologyInteractions	antagonist	2360	[3H]STRYCHNINE			
GABRG3	GABRG3	2567	ChemblInteractions	positive allosteric modulator	CHEMBL1200703	CHLORDIAZEPOXIDE HYDROCHLORIDE	CHLORDIAZEPOXIDE HYDROCHLORIDE	CHEMBL1200703	
CACNA1I	TTDS00161	8911	TTD	blocker	DAP001253	METHSUXIMIDE	METHSUXIMIDE	CHEMBL697	
TACSTD2	2837	4070	GuideToPharmacologyInteractions	antibody	8253	SACITUZUMAB GOVITECAN	SACITUZUMAB GOVITECAN	CHEMBL3545262	
DPP4	TTDS00093	1803	TTD	inhibitor	DCL001121	SSR-162369			
GABRB1	GABRB1	2560	ChemblInteractions	positive allosteric modulator	CHEMBL1200602	FLURAZEPAM HYDROCHLORIDE	FLURAZEPAM HYDROCHLORIDE	CHEMBL1200602	
	TTDS00271		TTD	inhibitor	DCL000787	E 7974	CHEMBL2035673	CHEMBL2035673	
MAP2K4	MAP2K4	6416	MyCancerGenomeClinicalTrial	inhibitor	TRAMETINIB	TRAMETINIB	TRAMETINIB	CHEMBL2103875	
FABP5	2535	2171	GuideToPharmacologyInteractions	inhibitor	8797	COMPOUND 13 [PMID: 17502136]			
RNASEH2A	RNASEH2A	10535	NCI		TGFBETA1	TGFBETA1			15084595
THBD	THBD	7056	NCI		SIMVASTATIN	SIMVASTATIN	SIMVASTATIN	CHEMBL1064	18663903
G6PD	G6PD	2539	NCI		BROMODEOXYURIDINE	BROMODEOXYURIDINE			177889
PIK3CB	PIK3CB	5291	MyCancerGenome	inhibitor	XL-765	XL-765	VOXTALISIB	CHEMBL3545366	
TAAR1	364	134864	GuideToPharmacologyInteractions	agonist	2148	[3H]TYRAMINE	TYRAMINE	CHEMBL11608	
MPO	MPO	4353	NCI		METHYLENE BLUE	METHYLENE BLUE	METHYLENE BLUE	CHEMBL191083	16490992
BMPR1A	1786	657	GuideToPharmacologyInteractions	inhibitor	8120	COMPOUND 13D [PMID: 23639540]			
PDE4B	DPDE4	5142	ChemblInteractions	inhibitor	CHEMBL1752	DYPHYLLINE	DYPHYLLINE	CHEMBL1752	
SLC12A3	P55017	6559	TdgClinicalTrial		QUINETHAZONE	QUINETHAZONE	QUINETHAZONE	CHEMBL1532	
HDAC4	HDAC4	9759	TALC	inhibitor	BELINOSTAT	BELINOSTAT	BELINOSTAT	CHEMBL408513	
CHRM1	P11229	1128	TEND		TOLTERODINE	TOLTERODINE	TOLTERODINE	CHEMBL1382	
GABRA4	GABRA4	2557	ChemblInteractions	positive allosteric modulator	CHEMBL452	CLONAZEPAM	CLONAZEPAM	CHEMBL452	
TPSD1	TPSD1	23430	NCI		CETIRIZINE	CETIRIZINE	CETIRIZINE	CHEMBL1000	11794849
IL1R1	IL1R1	3554	NCI		IL-1RA	IL-1RA	ANAKINRA	CHEMBL1201570	9555664
FSHR	TTDS00438	2492	TTD	binder	DAP001030	CHORIOGONADOTROPIN ALFA	CHORIOGONADOTROPIN ALFA	CHEMBL1201464	
MCL1	MCL1	4170	NCI		IL-5	IL-5			10961875
ENO2	ENO2	2026	NCI		NERVE GROWTH FACTOR	NERVE GROWTH FACTOR			6793214
SCN7A	SCN6A	6332	ChemblInteractions	blocker	CHEMBL1201020	DISOPYRAMIDE PHOSPHATE	DISOPYRAMIDE PHOSPHATE	CHEMBL1201020	
GABRB3	P28472	2562	TdgClinicalTrial		EVT-201	EVT-201			
PGR	TTDS00245	5241	TTD	binder	DAP000855	ETONOGESTREL	ETONOGESTREL	CHEMBL1531	
	TTDS00213		TTD	binder	DAP000994	MITOMYCIN	MITOMYCIN	CHEMBL105	
DNTT	DNTT	1791	NCI		ALPHA INTERFERON	ALPHA INTERFERON	CETUXIMAB	CHEMBL1201577	6335218
CAMK2B	CAMK2B	816	NCI		HYDROGEN PEROXIDE	HYDROGEN PEROXIDE	HYDROGEN PEROXIDE	CHEMBL71595	15304367
AGTR1	AGTR1	185	NCI		ANTISENSE OLIGONUCLEOTIDES	ANTISENSE OLIGONUCLEOTIDES			9092554
PTH1R	Q03431	5745	TdgClinicalTrial		768974	768974			
BIRC5	BIRC5	332	NCI		DDP	DDP			15970709
APP	A4	351	ChemblInteractions		CHEMBL1743058	PONEZUMAB	PONEZUMAB	CHEMBL1743058	
HTR2C	P28335	3358	TEND		ZIPRASIDONE	ZIPRASIDONE	ZIPRASIDONE	CHEMBL708	
ESR1	P03372	2099	TEND		CONJUGATED ESTROGENS	CONJUGATED ESTROGENS	ESTROGENS, CONJUGATED	CHEMBL1201649	
ECE1	1889	1889	GuideToPharmacologyInteractions		5068	APRIL			
XDH	TTDS00056	7498	TTD	inhibitor	DAP000773	ALLOPURINOL	ALLOPURINOL	CHEMBL1467	
KCNN1	381	3780	GuideToPharmacologyInteractions	channel blocker	2321	UCL1848			
KIT	1805	3815	GuideToPharmacologyInteractions	inhibitor	5689	JNJ-28312141			
F2	P00734	2147	TdgClinicalTrial		BIVALIRUDIN	BIVALIRUDIN	BIVALIRUDIN	CHEMBL2103749	
	PI3KCB		ClearityFoundationClinicalTrial		NVP-BEZ236	NVP-BEZ236			
CD274	B7H1	29126	ChemblInteractions	inhibitor	CHEMBL3301587	DURVALUMAB	DURVALUMAB	CHEMBL3301587	
ITGB2	ITGB2	3689	NCI		OPIOIDS	OPIOIDS			10232386
HRH1	P35367	3269	TEND		TRAZODONE	TRAZODONE	TRAZODONE	CHEMBL621	
KCNH2	572	3757	GuideToPharmacologyInteractions	channel blocker	2603	ASTEMIZOLE	ASTEMIZOLE	CHEMBL296419	
ITPR1	TTDS00502	3708	TTD	antagonist	DAP001317	NITROPRUSSIDE	NITROPRUSSIDE	CHEMBL2097081	
FGFR2	P21802	2263	TdgClinicalTrial		NINTEDANIB	NINTEDANIB	NINTEDANIB	CHEMBL502835	
KRAS	KRAS	3845	CIViC		R1507	R1507	TEPROTUMUMAB	CHEMBL1743079	21985784
CHRM4	16	1132	GuideToPharmacologyInteractions	antagonist	330	SCOPOLAMINE	SCOPOLAMINE	CHEMBL1187846	
KRT10	KRT10	3858	NCI		EGFR TYROSINE KINASE INHIBITOR	EGFR TYROSINE KINASE INHIBITOR			10601294
ALK	ALK	238	ChemblInteractions	inhibitor	CHEMBL3707320	ALECTINIB HYDROCHLORIDE	ALECTINIB HYDROCHLORIDE	CHEMBL3707320	
CDKN2A	CDKN2A	1029	ClearityFoundationBiomarkers		PD 0332991	PD 0332991	PALBOCICLIB	CHEMBL189963	
AURKC	AURKC	6795	ClearityFoundationClinicalTrial		N/A	N/A			
CNGA1	394	1259	GuideToPharmacologyInteractions	channel blocker	2313	DEQUALINIUM	DEQUALINIUM	CHEMBL333826	
FLT1	FLT	2321	ChemblInteractions	inhibitor	CHEMBL3545339	Fruquintinib	Fruquintinib	CHEMBL3545339	
IMPDH2	TTDS00063	3615	TTD	inhibitor	DAP000783	MYCOPHENOLATE MOFETIL	MYCOPHENOLATE MOFETIL	CHEMBL1456	
SLC16A1	SLC16A1	6566	NCI		SODIUM BUTYRATE	SODIUM BUTYRATE	SODIUM BUTYRATE	CHEMBL62381	11882670
MGAM	O43451	8972	TdgClinicalTrial		MIGLITOL	MIGLITOL	MIGLITOL	CHEMBL1561	
GCG	GCG	2641	NCI		NALTREXONE	NALTREXONE	NALTREXONE	CHEMBL19019	9623517
GABRA2	GABRA2	2555	ChemblInteractions	positive allosteric modulator	CHEMBL856	PRIMIDONE	PRIMIDONE	CHEMBL856	
TRPM5	497	29850	GuideToPharmacologyInteractions	channel blocker	2346	H+	GADOBENATE DIMEGLUMINE	CHEMBL1200571	
GUCY1A2	GUC1A2	2977	ChemblInteractions	activator	CHEMBL1311	ISOSORBIDE MONONITRATE	ISOSORBIDE MONONITRATE	CHEMBL1311	
ABL1	1923	25	GuideToPharmacologyInteractions	inhibitor	5710	BOSUTINIB	BOSUTINIB	CHEMBL288441	
APCS	2839	325	GuideToPharmacologyInteractions	inhibitor	8256	CPHPC			
PIK3R3	PIK3R3	8503	ChemblInteractions	inhibitor	CHEMBL2165191	AZD-6482	AZD-6482	CHEMBL2165191	
FPR1	222	2357	GuideToPharmacologyInteractions	agonist	5835	AG-14	CHEMBL1290251	CHEMBL1290251	
AR	DHTR	367	ChemblInteractions	agonist	CHEMBL1200335	TESTOSTERONE ENANTHATE	TESTOSTERONE ENANTHATE	CHEMBL1200335	
EGFR	1797	1956	GuideToPharmacologyInteractions	inhibitor	4862	AG1478	TYRPHOSTIN AG-1478	CHEMBL7917	
BRCA2	BRCA2	675	CKB		PR-104	PR-104			25193512
SSTR5	P35346	6755	TEND		OCTREOTIDE	OCTREOTIDE	OCTREOTIDE	CHEMBL1680	
HDAC4	2659	9759	GuideToPharmacologyInteractions	inhibitor	8894	CUDC-101	CUDC-101	CHEMBL598797	
TAC1	TAC1	6863	NCI		FUROSEMIDE	FUROSEMIDE	FUROSEMIDE	CHEMBL35	2048822
AVPR1A	366	552	GuideToPharmacologyInteractions	antagonist	2194	L023103			
PDE4A	DPDE2	5141	ChemblInteractions	inhibitor	CHEMBL190	THEOPHYLLINE	THEOPHYLLINE	CHEMBL190	
ANXA1	P04083	301	TEND		CLOBETASOL	CLOBETASOL	CLOBETASOL	CHEMBL1201362	
FLT4	FLT4	2324	MyCancerGenome	inhibitor	FORETINIB	FORETINIB	FORETINIB	CHEMBL1230609	
TUBA1C	TUBA6	84790	ChemblInteractions	inhibitor	CHEMBL1683544	ERIBULIN MESYLATE	ERIBULIN MESYLATE	CHEMBL1683544	
AKT2	1480	208	GuideToPharmacologyInteractions	inhibitor	7887	IPATASERTIB	IPATASERTIB	CHEMBL2177390	
OPRM1	MOR1	4988	ChemblInteractions	agonist	CHEMBL2105081	FRAKEFAMIDE	FRAKEFAMIDE	CHEMBL2105081	
AGT	AGT	183	NCI		CYCLOSPORIN A	CYCLOSPORIN A	CYCLOSPORINE	CHEMBL160	10642325
GRIN2A	NMDAR2A	2903	ChemblInteractions	antagonist	CHEMBL1094	FELBAMATE	FELBAMATE	CHEMBL1094	
P2RY1	323	5028	GuideToPharmacologyInteractions	antagonist	1727	[3H]MRS2279	DALFAMPRIDINE	CHEMBL284348	
AVPR1B	P47901	553	TdgClinicalTrial		VASOPRESSIN	VASOPRESSIN	VASOPRESSIN	CHEMBL373742	
ABL1	ABL1	25	OncoKB		Imatinib	Imatinib	IMATINIB	CHEMBL941	11287973,20525993,23502220,17496201,12637609,11287972,20525995,22160483,20131302,12200353
GLP1R	P43220	2740	TdgClinicalTrial		NN9924	NN9924			
ALOX5	TTDS00112	240	TTD	inhibitor	DAP000591	ZILEUTON	ZILEUTON	CHEMBL93	
CDK9	CDK9	1025	ClearityFoundationClinicalTrial		N/A	N/A			
INHBA	INHBA	3624	ChemblInteractions	inhibitor	CHEMBL1743073	SOTATERCEPT	SOTATERCEPT	CHEMBL1743073	
SLC2A1	SLC2A1	6513	NCI		TRIAMCINOLONE	TRIAMCINOLONE	TRIAMCINOLONE	CHEMBL1451	10199793
PARP1	TTDS00191	142	TTD	inhibitor	DCL000571	MK-4827	NIRAPARIB	CHEMBL1094636	
SIGMAR1	2552	10280	GuideToPharmacologyInteractions	agonist	6683	[3H]PENTAZOCINE	CHEMBL2311194	CHEMBL2311194	
LPAR3	274	23566	GuideToPharmacologyInteractions	agonist	2906	LPA			
IL17F	IL17F	112744	NCI		TNF-ALPHA	TNF-ALPHA	STAUROSPORINE	CHEMBL388978	15325804,15388258
	TTDS00163		TTD	blocker	DAP000306	NIMODIPINE	NIMODIPINE	CHEMBL1428	
TYMS	TYMS	7298	CIViC		METHOTREXATE	METHOTREXATE	METHOTREXATE	CHEMBL34259	23652803
SSTR2	356	6752	GuideToPharmacologyInteractions	agonist	5640	GA-KE88	CHEMBL420060	CHEMBL420060	
S1PR1	P21453	1901	TdgClinicalTrial		RPC1063	RPC1063	OZANIMOD	CHEMBL3707247	
ACE	P12821	1636	TdgClinicalTrial		CAPTOPRIL	CAPTOPRIL	CAPTOPRIL	CHEMBL1560	
BACE1	P56817	23621	TdgClinicalTrial		CTS-21166	CTS-21166			
DRD5	P21918	1816	TdgClinicalTrial		LU 02-750	LU 02-750			
	TTDS00210		TTD	binder	DAP001169	AZLOCILLIN			
GABRB1	GABRB1	2560	ChemblInteractions	positive allosteric modulator	CHEMBL580	LORAZEPAM	LORAZEPAM	CHEMBL580	
OPRD1	317	4985	GuideToPharmacologyInteractions	agonist	1624	ETONITAZENE	ETONITAZENE	CHEMBL312040	
PLAU	PLAU	5328	NCI		CORTISOL	CORTISOL	HYDROCORTISONE	CHEMBL389621	2115769
NFKB2	TTDC00046	4791	TTD	inhibitor	DCL000254	TYLOXAPOL			
DRD4	P21917	1815	TEND		PROMAZINE	PROMAZINE	PROMAZINE	CHEMBL564	
CSH1	CSH1	1442	NCI		MARIJUANA	MARIJUANA			6602929
KDR	1813	3791	GuideToPharmacologyInteractions	inhibitor	5891	REGORAFENIB	REGORAFENIB	CHEMBL1946170	
EP300	2735	2033	GuideToPharmacologyInteractions	inhibitor	7000	CURCUMIN	CURCUMIN	CHEMBL116438	
GRIA2	445	2891	GuideToPharmacologyInteractions	antagonist	4209	GYKI53655			
CD3E	T3E	916	ChemblInteractions		CHEMBL1742992	BLINATUMOMAB	BLINATUMOMAB	CHEMBL1742992	
PIK3CD	2155	5293	GuideToPharmacologyInteractions	inhibitor	8013	PP121	CHEMBL1081312	CHEMBL1081312	
MLNR	TTDC00155	2862	TTD	agonist	DPR000054	GSK-326416			
GABRA4	P48169	2557	TEND		OXAZEPAM	OXAZEPAM	OXAZEPAM	CHEMBL568	
GJA8	732	2703	GuideToPharmacologyInteractions	inhibitor	707	CA2+	cA2	CHEMBL2109588	
FGFR3	FGFR3	2261	CKB		PD98059	PD98059	CHEMBL35482	CHEMBL35482	14534538
AURKA	AURORA A	6790	TALC	inhibitor	TOZASERTIB	TOZASERTIB	TOZASERTIB	CHEMBL572878	
NPY5R	TTDC00089	4889	TTD	antagonist	DPR000056	GW-594884A			
SLC6A9	TTDC00227	6536	TTD	blocker	DPR000085	ORGANON	ALLYLESTRENOL	CHEMBL2105618	
SCN4A	SCN4A	6329	ChemblInteractions	blocker	CHEMBL1200715	HEXYLCAINE HYDROCHLORIDE	HEXYLCAINE HYDROCHLORIDE	CHEMBL1200715	
TUBB2B	TUBB2B	347733	ChemblInteractions	inhibitor	CHEMBL289351	FOSBRETABULIN DISODIUM	FOSBRETABULIN DISODIUM	CHEMBL289351	
SSTR1	355	6751	GuideToPharmacologyInteractions	agonist	2005	CGP 23996			
PTK2	FAK	5747	ChemblInteractions	inhibitor	CHEMBL3544967	GSK-2256098	GSK-2256098	CHEMBL3544967	
OXTR	OXTR	5021	ChemblInteractions	agonist	CHEMBL3545167	FE 202767	FE 202767	CHEMBL3545167	
FAAH	1400	2166	GuideToPharmacologyInteractions	inhibitor	5244	PF750	CHEMBL560590	CHEMBL560590	
PPARD	PPARD	5467	NCI		ATORVASTATIN	ATORVASTATIN	ATORVASTATIN	CHEMBL1487	16139565
AKR1B1P4	423	390402	GuideToPharmacologyInteractions	allosteric modulator	731	HU-210			
DRD1	P21728	1812	TEND		THIORIDAZINE	THIORIDAZINE	THIORIDAZINE	CHEMBL479	
SRC	SRC1	6714	ChemblInteractions	inhibitor	CHEMBL1980297	ILORASERTIB	ILORASERTIB	CHEMBL1980297	
SCN2A	NAC2	6326	ChemblInteractions	blocker	CHEMBL1201023	ORPHENADRINE (CHLORIDE)	ORPHENADRINE (CHLORIDE)	CHEMBL1201023	
ADRA2A	25	150	GuideToPharmacologyInteractions	agonist	520	BRIMONIDINE	BRIMONIDINE	CHEMBL844	
GADD45A	GADD45A	1647	NCI		WORTMANNIN	WORTMANNIN	WORTMANNIN	CHEMBL428496	12066222
P2RY1	323	5028	GuideToPharmacologyInteractions	agonist	1763	[3H]2MESADP	CHEMBL435402	CHEMBL435402	
PPIA	2751	5478	GuideToPharmacologyInteractions	inhibitor	1024	CYCLOSPORIN A	CYCLOSPORINE	CHEMBL160	
KLK3	KLK3	354	NCI		PROGESTIN	PROGESTIN	PROGESTERONE	CHEMBL103	9052414
HTR3C	HTR3C	170572	ChemblInteractions	antagonist	CHEMBL2104986	TEDATIOXETINE	TEDATIOXETINE	CHEMBL2104986	
ADORA2A	19	135	GuideToPharmacologyInteractions	antagonist	384	CGS 15943	CGS-15943	CHEMBL16687	
FGFR1	P11362	2260	TdgClinicalTrial		ENMD-2076	ENMD-2076	ENMD-2076	CHEMBL482968	
GABBR1	GABBR1	2550	NCI		BACLOFEN	BACLOFEN	BACLOFEN	CHEMBL701	7674378,9486305
EGFR	EGFR	1956	OncoKB		Afatinib	Afatinib	AFATINIB	CHEMBL1173655	23371856,20808254,14570950,22370314,15710947,25589191,26051236,25179728,24893891,15638953,23969006,20573926,19692680,23328547,21764376,16187797,24353160,22452895,24285021,23816963,23566546,23816960,22285168,15897572,18676761,24065731,17285735,23912954,15118073,20022809,18408761,26286086,21422421,23749122,25521405,25130612,1867676,19536777,22190593,21949883,19625781,16011858,15737014,21670455,26206867,21531810,18000506,24478319,17686547,21252719
NR1I3	607	9970	GuideToPharmacologyInteractions	antagonist	2330	CLOTRIMAZOLE	CLOTRIMAZOLE	CHEMBL104	
EGFR	1797	1956	GuideToPharmacologyInteractions		4918	EPIREGULIN	CAPREOMYCINE	CHEMBL2221250	
ACHE	P22303	43	TdgClinicalTrial		DONEPEZIL	DONEPEZIL	DONEPEZIL	CHEMBL502	
NPPC	NPPC	4880	NCI		DES	DES	DIETHYLSTILBESTROL	CHEMBL411	10650935
CRHR2	TTDC00074	1395	TTD	antagonist	DCL000758	CRF-R2 ANTAGONISTS	ENTINOSTAT	CHEMBL27759	
PLA2G2A	PLA2G2A	5320	NCI		PIROXICAM	PIROXICAM	PIROXICAM	CHEMBL527	10716720
ABCB1	ABCB1	5243	NCI		ITRACONAZOLE	ITRACONAZOLE	ITRACONAZOLE	CHEMBL22587	15969931
SERPINA5	SERPINA5	5104	NCI		THROMBIN	THROMBIN	THROMBIN	CHEMBL2108110	8136018
ABCG2	ABCG2	9429	NCI		HUMAN CHORIONIC GONADOTROPIN	HUMAN CHORIONIC GONADOTROPIN	GONADOTROPIN, CHORIONIC	CHEMBL1201509	17823853
AVPR2	P30518	554	TdgClinicalTrial		OPC-51803	OPC-51803	CHEMBL332447	CHEMBL332447	
GRIN1	NMDAR1	2902	ChemblInteractions	partial agonist	CHEMBL3545230	NRX-1074	NRX-1074	CHEMBL3545230	
GALR3	245	8484	GuideToPharmacologyInteractions	agonist	3594	GALANIN-LIKE PEPTIDE	HESPERIDIN	CHEMBL449317	
HIST3H2A	HIST3H2A	92815	NCI		TRICHOSTATIN A	TRICHOSTATIN A	TRICHOSTATIN	CHEMBL99	15292402
MMP2	MMP2	4313	NCI		G-CSF	G-CSF	FILGRASTIM	CHEMBL1201567	11391619
NPPC	NPPC	4880	NCI		CORTISOL	CORTISOL	HYDROCORTISONE	CHEMBL389621	7716064
MET	MET	4233	ChemblInteractions	inhibitor	CHEMBL2103868	CABOZANTINIB S-MALATE	CABOZANTINIB S-MALATE	CHEMBL2103868	
ABCG2	792	9429	GuideToPharmacologyInteractions	inhibitor	1024	CYCLOSPORIN A	CYCLOSPORINE	CHEMBL160	
BRAF	BRAF	673	MyCancerGenome	inhibitor	SORAFENIB	SORAFENIB	SORAFENIB	CHEMBL1336	
