drug_claim_name	drug_name	chembl_id	drug_claim_source
5517	ZALEPLON	CHEMBL1521	GuideToPharmacologyInteractions
323	HEXOCYCLIUM	CHEMBL1201325	GuideToPharmacologyInteractions
CHEMBL861	MEPHENYTOIN	CHEMBL861	ChemblInteractions
PIMASERTIB	PIMASERTIB	CHEMBL2107832	PubChem
96946-42-8	CHEMBL264974	CHEMBL264974	PubChem
METHYL GERFELIN			PubChem
ESTRONE	ESTRONE	CHEMBL1405	PubChem
1-[2-DEOXYRIBOFURANOSYL]-2,4-DIFLUORO-5-METHYL-BENZENE-5'MONOPHOSPHATE			PubChem
CYCLIZINE HYDROCHLORIDE	CYCLIZINE HYDROCHLORIDE	CHEMBL1324714	PubChem
ATLA2			PubChem
TASIN-1			CKB
2920	PAMOIC ACID	CHEMBL177880	GuideToPharmacologyInteractions
3-{[(3-FLUORO-3'-METHOXYBIPHENYL-4-YL)AMINO]CARBONYL}THIOPHENE-2-CARBOXYLIC ACID	CHEMBL371732	CHEMBL371732	PubChem
DEXMEDETOMIDINE	DEXMEDETOMIDINE	CHEMBL778	TdgClinicalTrial
815			GuideToPharmacologyInteractions
155206-00-1	BIMATOPROST	CHEMBL1200963	PubChem
DCL000782	DOXERCALCIFEROL	CHEMBL1200810	TTD
ZOLEDRONATE	ZOLEDRONIC ACID	CHEMBL924	TdgClinicalTrial
7992	MEDI-551	CHEMBL2109334	GuideToPharmacologyInteractions
1608	DPDPE	CHEMBL294616	GuideToPharmacologyInteractions
ANASTROZOLE	ANASTROZOLE	CHEMBL1399	NCI
1949	CHEMBL304858	CHEMBL304858	GuideToPharmacologyInteractions
TOCRIS-0831	CHEMBL1358416	CHEMBL1358416	PubChem
AJMALINE	AJMALINE	CHEMBL2105617	PubChem
10-PROPARGYL-5,8-DIDEAZAFOLIC ACID	CHEMBL389051	CHEMBL389051	PubChem
iCRT-14			CKB
SORDENAC	CHEMBL2360084	CHEMBL2360084	PubChem
BAY80-6946	COPANLISIB	CHEMBL3218576	CancerCommons
PENTAMIDINE	PENTAMIDINE	CHEMBL55	NCI
REOLYSIN			TdgClinicalTrial
9227			GuideToPharmacologyInteractions
CNQX	CHEMBL222418	CHEMBL222418	PubChem
33577-16-1			PubChem
(R)-ZACOPRIDE	(R)ZACOPRIDE	CHEMBL27846	PubChem
6321	CHEMBL1094763	CHEMBL1094763	GuideToPharmacologyInteractions
8231			GuideToPharmacologyInteractions
152			GuideToPharmacologyInteractions
3730			GuideToPharmacologyInteractions
1059	BUTANOIC ACID	CHEMBL14227	GuideToPharmacologyInteractions
ZIDOVUDINE	ZIDOVUDINE	CHEMBL129	PubChem
CARVEDILOL	CARVEDILOL	CHEMBL723	TdgClinicalTrial
8287			GuideToPharmacologyInteractions
6838	PHENINDIONE	CHEMBL711	GuideToPharmacologyInteractions
D3263	D-3263	CHEMBL3707315	TdgClinicalTrial
NOREPINEPHRINE	NOREPINEPHRINE	CHEMBL1437	TEND
5793			GuideToPharmacologyInteractions
DAP000463			TTD
BUMETANIDE	BUMETANIDE	CHEMBL1072	TdgClinicalTrial
AC1NSK4W	ICATIBANT	CHEMBL2028850	PubChem
DAC:GLP-1			TdgClinicalTrial
9395	TOFOGLIFLOZIN	CHEMBL2110731	GuideToPharmacologyInteractions
BETA-NALTREXOL	CHEMBL140278	CHEMBL140278	PubChem
RV-B7.1	CHLORZOXAZONE	CHEMBL1371	NCI
METHYLDOPA	METHYLDOPA	CHEMBL459	PubChem
2941	LORCASERIN	CHEMBL360328	GuideToPharmacologyInteractions
AC1LOX7N	IDOXURIDINE	CHEMBL788	PubChem
SANDOSTATIN			NCI
CHEMBL1763	HYDROFLUMETHIAZIDE	CHEMBL1763	ChemblInteractions
CHEMBL1200396	BUPIVACAINE HYDROCHLORIDE	CHEMBL1200396	ChemblInteractions
ENOXACIN SESQUIHYDRATE	ENOXACIN	CHEMBL826	PubChem
8461			GuideToPharmacologyInteractions
NORVENLAFAXINE			PubChem
DAP000151	DROTRECOGIN ALFA (ACTIVATED)	CHEMBL2109065	TTD
NORETHINDRONE	NORETHINDRONE	CHEMBL1162	TEND
TRS	TROMETHAMINE	CHEMBL1200391	PubChem
8968			GuideToPharmacologyInteractions
CHEMBL2105765	LIPEGFILGRASTIM	CHEMBL2105765	ChemblInteractions
FLUSPIRILENE	FLUSPIRILENE	CHEMBL46516	TEND
XL228	XL-228	CHEMBL3545085	TALC
1699	OREXIN B	CHEMBL413434	GuideToPharmacologyInteractions
CHEMBL2107384	VICRIVIROC MALEATE	CHEMBL2107384	ChemblInteractions
FOSPHENYTOIN	FOSPHENYTOIN	CHEMBL1201336	TEND
ZOPICLONE	ZOPICLONE	CHEMBL135400	PubChem
GLIMEPIRIDE	GLIMEPIRIDE	CHEMBL1481	PubChem
BAY86-9766	Refametinib	CHEMBL2138601	CancerCommons
DCL000627			TTD
4-(6-{[(1R)-1-(HYDROXYMETHYL)PROPYL]AMINO}IMIDAZO[1,2-B]PYRIDAZIN-3-YL)BENZOIC ACID			PubChem
Tucatinib			CKB
RICIN			NCI
FREUND&APOS;S ADJUVANT			NCI
1681	NOCICEPTIN	CHEMBL396460	GuideToPharmacologyInteractions
6220			GuideToPharmacologyInteractions
459868-92-9	RUCAPARIB PHOSPHATE	CHEMBL2105733	PubChem
MERIOLIN 3	MERIOLIN 3	CHEMBL270686	PubChem
CERITINIB	CERITINIB	CHEMBL2403108	MyCancerGenome
ACET	CHEMBL373429	CHEMBL373429	PubChem
PINACIDIL	PINACIDIL	CHEMBL1159	PubChem
20324-87-2	CHEMBL3109656	CHEMBL3109656	PubChem
CATHOMYCIN	NOVOBIOCIN SODIUM	CHEMBL3183453	PubChem
FPL 14294			PubChem
DANAZOL	DANAZOL	CHEMBL1479	PubChem
5368	ANGIOTENSIN IV	CHEMBL261120	GuideToPharmacologyInteractions
DCL000261	VX-745	CHEMBL119385	TTD
DAP000610			TTD
4935	PROPARACAINE	CHEMBL1196	GuideToPharmacologyInteractions
DG041	CHEMBL565591	CHEMBL565591	TdgClinicalTrial
CERE-110			TdgClinicalTrial
6630	NEPICASTAT	CHEMBL1188395	GuideToPharmacologyInteractions
Anastrozole	ANASTROZOLE	CHEMBL1399	FDA
CHEMBL523299	UMECLIDINIUM BROMIDE	CHEMBL523299	ChemblInteractions
DIPHENYLPYRALINE	DIPHENYLPYRALINE	CHEMBL1492	TdgClinicalTrial
GSK1070916	GSK-1070916	CHEMBL1090479	MyCancerGenome
GTPL6430			PubChem
2360			GuideToPharmacologyInteractions
HYALURONIC ACID SODIUM SALT	HYALURONATE SODIUM	CHEMBL2105008	PubChem
AUY922	NVP-AUY922	CHEMBL252164	CancerCommons
CHEMBL202609	CHEMBL202609	CHEMBL202609	PubChem
GAMMA-CARBOXYGLUTAMIC ACID	CHEMBL38397	CHEMBL38397	PubChem
3762-33-2			PubChem
DAP000969	ICOSAPENT	CHEMBL460026	TTD
8866	CEBRANOPADOL	CHEMBL2364605	GuideToPharmacologyInteractions
TT-232	CHEMBL539934	CHEMBL539934	PubChem
DCL000334	GARENOXACIN	CHEMBL215303	TTD
JQEZ5			CKB
PROPYL ISOCYANIDE			PubChem
CLOBETASOL	CLOBETASOL	CHEMBL1201362	TdgClinicalTrial
CHEMBL1201160	RITODRINE HYDROCHLORIDE	CHEMBL1201160	ChemblInteractions
9098	CEFIXIME	CHEMBL1541	GuideToPharmacologyInteractions
TUMOR ANTIGEN			NCI
BENTIROMIDE	BENTIROMIDE	CHEMBL1200368	PubChem
METERGOLINE	METERGOLINE	CHEMBL19215	PubChem
CHEMBL1073	GLIPIZIDE	CHEMBL1073	ChemblInteractions
DAP000318			TTD
ROTOXAMINE			PubChem
7,8-DIHYDRO-L-BIOPTERIN-D3			PubChem
PKI-587	GEDATOLISIB	CHEMBL592445	PubChem
DCL000947	RADAFAXINE	CHEMBL1172928	TTD
Dasatinib	DASATINIB	CHEMBL1421	OncoKB
AC1OFCHV	CEFOPERAZONE	CHEMBL507674	PubChem
DAP000737	CELECOXIB	CHEMBL118	TTD
3482	RELCOVAPTAN	CHEMBL419667	GuideToPharmacologyInteractions
SB 216641	CHEMBL20963	CHEMBL20963	PubChem
(9R,10R)-9-(S-GLUTATHIONYL)-10-HYDROXY-9,10-DIHYDROPHENANTHRENE			PubChem
PROPIONYLCARNITINE	Propionyl-Carnitine	CHEMBL2074916	PubChem
8007			GuideToPharmacologyInteractions
HYDANTOIN	HYDANTOIN	CHEMBL122334	PubChem
LY-97241	CHEMBL182977	CHEMBL182977	PubChem
7760			GuideToPharmacologyInteractions
431			GuideToPharmacologyInteractions
1303	CHEMBL214021	CHEMBL214021	GuideToPharmacologyInteractions
AFFINITAC	APRINOCARSEN SODIUM	CHEMBL2108985	TALC
DAP001116	GLYCOPYRROLATE	CHEMBL1201335	TTD
CHEMBL1830707	CHEMBL1830707	CHEMBL1830707	PubChem
6			GuideToPharmacologyInteractions
CHEMBL1200841	PROCAINE HYDROCHLORIDE	CHEMBL1200841	ChemblInteractions
AC1L4HAK	ETIPREDNOL DICLOACETATE	CHEMBL2107614	PubChem
SCHEMBL12343182			PubChem
7978			GuideToPharmacologyInteractions
4612	CHEMBL77287	CHEMBL77287	GuideToPharmacologyInteractions
ANTHRACENE-9-CARBOXYLIC ACID	ANTHRACENE-9-CARBOXYLIC ACID	CHEMBL1513985	PubChem
R-FLURBIPROFEN	TARENFLURBIL	CHEMBL190083	NCI
CHEMBL130715	CHEMBL130715	CHEMBL130715	PubChem
3794			GuideToPharmacologyInteractions
CHEMBL1201655	INSULIN SUSP ISOPHANE PURIFIED BEEF	CHEMBL1201655	ChemblInteractions
88899-56-3	BAFILOMYCIN B1	CHEMBL1076858	PubChem
2426			GuideToPharmacologyInteractions
AC1LABPH	CHEMBL43824	CHEMBL43824	PubChem
FLUVASTATIN			TEND
3-PHOSPHOGLYCERIC ACID	3-PHOSPHOGLYCERIC ACID	CHEMBL1160563	PubChem
6832	MYCOPHENOLIC ACID	CHEMBL866	GuideToPharmacologyInteractions
DIOLEOYLPHOSPHATIDIC ACID	CHEMBL319757	CHEMBL319757	PubChem
DAP001097			TTD
6334			GuideToPharmacologyInteractions
3309	ASPARTIC ACID	CHEMBL274323	GuideToPharmacologyInteractions
EZN-2968			TALC
581			GuideToPharmacologyInteractions
9144			GuideToPharmacologyInteractions
ML218			PubChem
DIETHYLPROPION	DIETHYLPROPION	CHEMBL1194666	TdgClinicalTrial
CHEMBL481958	AMRUBICIN HYDROCHLORIDE	CHEMBL481958	ChemblInteractions
NIMESULIDE			PubChem
FGGFTGARKSARK	CHEMBL384755	CHEMBL384755	PubChem
CARICOTAMIDE	CARICOTAMIDE	CHEMBL2000716	TdgClinicalTrial
968	CHEMBL1627081	CHEMBL1627081	GuideToPharmacologyInteractions
ETHYL 7-HYDROXY-2-OXO-2H-CHROMENE-3-CARBOXYLATE	CHEMBL155103	CHEMBL155103	PubChem
(2S)-2-METHYL-2,3-DIHYDROTHIENO[2,3-F][1,4]OXAZEPIN-5-AMINE	CHEMBL1221702	CHEMBL1221702	PubChem
SEMAPIMOD	SEMAPIMOD	CHEMBL2107779	TdgClinicalTrial
ADENOSINE-2'-5'-DIPHOSPHATE	CHEMBL1161861	CHEMBL1161861	PubChem
LEE011	Ribociclib	CHEMBL3545110	PubChem
363			GuideToPharmacologyInteractions
PYRAZOLE	PYRAZOLE	CHEMBL15967	NCI
FG-4592	ROXADUSTAT	CHEMBL2338329	TdgClinicalTrial
A 740003	CHEMBL255787	CHEMBL255787	PubChem
S-2-(BORONOETHYL)-L-CYSTEINE			PubChem
CYCLIC ADENOSINE MONOPHOSPHATE	CYCLIC ADENOSINE MONOPHOSPHATE	CHEMBL316966	PubChem
4494	HEMICHOLINIUM-3	CHEMBL268697	GuideToPharmacologyInteractions
POTASSIUM BUTANEDIOATE	SUCCINIC ACID	CHEMBL576	PubChem
CEVIMELINE HYDROCHLORIDE	CEVIMELINE HYDROCHLORIDE	CHEMBL2218917	PubChem
CHEMBL109648	CLAZOSENTAN	CHEMBL109648	ChemblInteractions
5802	CHEMBL1800685	CHEMBL1800685	GuideToPharmacologyInteractions
804	ANCRIVIROC (CHEMBL2107311)	CHEMBL2107311	GuideToPharmacologyInteractions
1BETA-HYDROXY VITAMIN D3	ALFACALCIDOL	CHEMBL1601669	PubChem
LASMIDITAN	LASMIDITAN	CHEMBL3039520	TdgClinicalTrial
N-[1-(AMINOMETHYL)CYCLOPROPYL]-3-(MORPHOLIN-4-YLSULFONYL)-N~2~-[(1S)-2,2,2-TRIFLUORO-1-(4-FLUOROPHENYL)ETHYL]-L-ALANINAMIDE			PubChem
1312445-63-8	BUPARLISIB HYDROCHLORIDE	CHEMBL2364604	PubChem
CHEMBL3301624	SETMELANOTIDE	CHEMBL3301624	ChemblInteractions
Prilocaine	PRILOCAINE	CHEMBL1194	FDA
CHEMBL1339	VARDENAFIL HYDROCHLORIDE	CHEMBL1339	ChemblInteractions
DCL001152			TTD
NU2058	CHEMBL269881	CHEMBL269881	PubChem
CHEMBL2107830	EMPAGLIFLOZIN	CHEMBL2107830	ChemblInteractions
DAP000879	NYSTATIN	CHEMBL229383	TTD
(2E,4E,7S)-11-METHOXY-3,7,11-TRIMETHYL-2,4-DODECADIENOIC ACID	CHEMBL289635	CHEMBL289635	PubChem
PF-04605412	PF-04605412	CHEMBL2109622	TALC
GSK126	CHEMBL3287735	CHEMBL3287735	OncoKB
CHEMBL107367	FARGLITAZAR	CHEMBL107367	ChemblInteractions
3-FLUORO-DL-TYROSINE			PubChem
1155	SECRETIN	CHEMBL3039582	GuideToPharmacologyInteractions
PIPERACILLIN	PIPERACILLIN	CHEMBL702	PubChem
1-(3,4-DICHLOROPHENYL)-3-AZABICYCLO[3.1.0]HEXANE	CHEMBL528995	CHEMBL528995	PubChem
LITRONESIB	LITRONESIB	CHEMBL2105661	PubChem
N1-DNSSPM	CHEMBL1184349	CHEMBL1184349	PubChem
6450	CHEMBL186151	CHEMBL186151	GuideToPharmacologyInteractions
Letrozole	LETROZOLE	CHEMBL1444	FDA
DH 97	CHEMBL1327247	CHEMBL1327247	PubChem
DCL001188	COBIMETINIB	CHEMBL2146883	TTD
9571			GuideToPharmacologyInteractions
PAMINE			PubChem
DAP000467	CHEMBL444449	CHEMBL444449	TTD
9426			GuideToPharmacologyInteractions
8122			GuideToPharmacologyInteractions
BUPRENORPHINE	BUPRENORPHINE	CHEMBL511142	PubChem
AZITHROMYCIN	AZITHROMYCIN	CHEMBL529	NCI
DAP000809	PYRIDOSTIGMINE	CHEMBL1115	TTD
LEVOTHYROXINE	LEVOTHYROXINE	CHEMBL1624	TdgClinicalTrial
METHYLNITROSOUREA	N-METHYL-N-NITROSUREA	CHEMBL288958	NCI
3214	FELBAMATE	CHEMBL1094	GuideToPharmacologyInteractions
U3-1287	AMG-888	CHEMBL2109396	MyCancerGenome
DAP001465			TTD
R-ETODOLAC	SDX-101	CHEMBL1716091	TdgClinicalTrial
CHININI SULFAS	QUININE SULFATE	CHEMBL2359966	PubChem
PI-88			NCI
NOT DISCLOSED			TdgClinicalTrial
NORETHISTERONE ACETATE			NCI
CHEMBL18872	CHEMBL18872	CHEMBL18872	PubChem
5808			GuideToPharmacologyInteractions
IMIDAPRIL	IMIDAPRIL	CHEMBL317094	PubChem
PAROXETINE HYDROCHLORIDE HEMIHYDRATE	PAROXETINE HYDROCHLORIDE HEMIHYDRATE	CHEMBL1256912	PubChem
SULINDAC SULFIDE	SULINDAC SULFIDE	CHEMBL18797	NCI
N-PYRIDOXYL-GLYCINE-5-MONOPHOSPHATE			PubChem
CHEMBL178938	CHEMBL178938	CHEMBL178938	PubChem
TACROLIMUS MONOHYDRATE	TACROLIMUS	CHEMBL269732	PubChem
5973	GO-6976	CHEMBL302449	GuideToPharmacologyInteractions
UNII-SPI5PBF81S	CHEMBL417007	CHEMBL417007	PubChem
D-KYNURENINE	CHEMBL1233899	CHEMBL1233899	PubChem
GA201	IMGATUZUMAB	CHEMBL2109389	CKB
8035	LEVOBETAXOLOL	CHEMBL1201274	GuideToPharmacologyInteractions
MLS000063560	CHEMBL1452805	CHEMBL1452805	PubChem
TIMOLOL HEMIHYDRATE	TIMOLOL	CHEMBL499	PubChem
GW-3430	CHEMBL214957	CHEMBL214957	PubChem
UROFOLLITROPIN	UROFOLLITROPIN	CHEMBL1201520	PubChem
CHEMBL3545163	AMP579	CHEMBL3545163	ChemblInteractions
UNII-A17W0640NB	CORT 108297	CHEMBL271220	PubChem
143	FOLINIC ACID	CHEMBL1232801	GuideToPharmacologyInteractions
DAP000526	ETHOSUXIMIDE	CHEMBL696	TTD
PREDNISOLONE ACETATE	PREDNISOLONE ACETATE	CHEMBL1152	PubChem
6-(7-HYDROXY-6,7-DIHYDRO-5H-PYRROLO[1,2-C]IMIDAZOL-7-YL)-N-METHYL-2-NAPHTHAMIDE	CHEMBL1921977	CHEMBL1921977	PubChem
5928	KU-55933	CHEMBL222102	GuideToPharmacologyInteractions
PREGABALIN	PREGABALIN	CHEMBL1059	PubChem
CHEMBL2105754	TRELAGLIPTIN SUCCINATE	CHEMBL2105754	ChemblInteractions
LUCANTHONE	LUCANTHONE	CHEMBL279014	PubChem
9112			GuideToPharmacologyInteractions
6831	MYCOPHENOLATE MOFETIL	CHEMBL1456	GuideToPharmacologyInteractions
2200	RELCOVAPTAN	CHEMBL419667	GuideToPharmacologyInteractions
568	AMIBEGRON	CHEMBL1193948	GuideToPharmacologyInteractions
CEFPIRAMIDE [USAN:INN]	CEFPIRAMIDE	CHEMBL1201204	PubChem
ALBUTROPIN			TdgClinicalTrial
NALORPHINE	NALORPHINE	CHEMBL415284	PubChem
LYSOPHOSPHATIDYLINOSITOL			PubChem
DPR000011			TTD
ZINC14881088			PubChem
4-(DIMETHYLAMINO)BUTYL CARBAMIMIDOTHIOATE	CHEMBL1230270	CHEMBL1230270	PubChem
DAP000037	GLYBURIDE	CHEMBL472	TTD
3899			GuideToPharmacologyInteractions
MARGATOXIN			PubChem
6448	CHEMBL187107	CHEMBL187107	GuideToPharmacologyInteractions
8207			GuideToPharmacologyInteractions
51	RIZATRIPTAN	CHEMBL905	GuideToPharmacologyInteractions
CHEMBL1201735	BUPROPION HYDROBROMIDE	CHEMBL1201735	ChemblInteractions
ALX 5407 HYDROCHLORIDE	CHEMBL180966	CHEMBL180966	PubChem
KETAZOLAM	KETAZOLAM	CHEMBL2104356	PubChem
CLIDINIUM	CLIDINIUM	CHEMBL620	PubChem
6577			GuideToPharmacologyInteractions
3883	LANSOPRAZOLE	CHEMBL480	GuideToPharmacologyInteractions
VANLEV	OMAPATRILAT	CHEMBL289556	PubChem
CARDIOPROTECTIVE AGENT			NCI
7867			GuideToPharmacologyInteractions
7679	CHEMBL2158814	CHEMBL2158814	GuideToPharmacologyInteractions
CARBONIC ANHYDRASE INHIBITOR			NCI
Gemcitabine	GEMCITABINE	CHEMBL888	CGI
PHTPP	CHEMBL191066	CHEMBL191066	PubChem
4-{[(CYCLOHEXYLAMINO)CARBONYL]AMINO}BUTANOIC ACID	CHEMBL219695	CHEMBL219695	PubChem
FAS LIGAND	RIZATRIPTAN	CHEMBL905	NCI
5-PHENYL-1H-INDAZOL-3-AMINE	CHEMBL500779	CHEMBL500779	PubChem
ISOETHARINE	ISOETHARINE	CHEMBL1201213	TEND
ERYTHROPOIETIN	EPOETIN BETA	CHEMBL2109092	NCI
1-(CYCLOHEXYLAMINO)-3-(6-METHYL-3,4-DIHYDRO-1H-CARBAZOL-9(2H)-YL)PROPAN-2-OL	CHEMBL1230144	CHEMBL1230144	PubChem
CHEMBL278623	MACIMORELIN	CHEMBL278623	ChemblInteractions
DCL000971	CHEMBL2019090	CHEMBL2019090	TTD
O-(((1R)-((N-PHENYLMETHOXYCARBONYL-L-ALANYL)AMINO)ETHYL)HYDROXYPHOSPHONO)-L-BENZYLACETIC ACID			PubChem
CHEMBL1200833	DIPIVEFRIN HYDROCHLORIDE	CHEMBL1200833	ChemblInteractions
POTASSIUM CHLORIDE	POTASSIUM CHLORIDE	CHEMBL1200731	PubChem
86784-80-7			PubChem
AC1L21UA	RIMEXOLONE	CHEMBL1200617	PubChem
8420	CHEMBL1234624	CHEMBL1234624	GuideToPharmacologyInteractions
CIMETIDINE	CIMETIDINE	CHEMBL30	NCI
[5-HYDROXY-2-(4-HYDROXYPHENYL)-1-BENZOFURAN-7-YL]ACETONITRILE	CHEMBL184151	CHEMBL184151	PubChem
9456	CHEMBL493076	CHEMBL493076	GuideToPharmacologyInteractions
TALOTREXIN	TALOTREXIN	CHEMBL590985	TdgClinicalTrial
LX-4211	SOTAGLIFLOZIN	CHEMBL3039507	PubChem
HIN			PubChem
CEFTIBUTEN	CEFTIBUTEN	CHEMBL1605	PubChem
3-ETHOXYMORPHINE			PubChem
PMX-53	CHEMBL41547	CHEMBL41547	PubChem
DCL000204	TERIPARATIDE	CHEMBL525610	TTD
819			GuideToPharmacologyInteractions
3548	LIDOCAINE	CHEMBL79	GuideToPharmacologyInteractions
VANDETANIB	VANDETANIB	CHEMBL24828	DoCM
LU AA24493			TdgClinicalTrial
CVT-6883	GS 6201	CHEMBL260933	TdgClinicalTrial
141	N,N-DIMETHYLTRYPTAMINE	CHEMBL12420	GuideToPharmacologyInteractions
CYCLOHEXANECARBOXAMIDE, 4-(1-AMINOETHYL)-N-4-PYRIDINYL-, TRANS-	CHEMBL1994526	CHEMBL1994526	PubChem
PHENTERMINE	PHENTERMINE	CHEMBL1574	TEND
(2S)-1-(4-IODO-2,5-DIMETHOXYPHENYL)PROPAN-2-AMINE	CHEMBL1434583	CHEMBL1434583	PubChem
CHEMBL90403	CHEMBL90403	CHEMBL90403	PubChem
5-PHOSPHO-D-ARABINOHYDROXAMIC ACID	CHEMBL1235136	CHEMBL1235136	PubChem
EPINEPHRINE	EPINEPHRINE	CHEMBL679	TEND
9217	FLUDROCORTISONE	CHEMBL1201388	GuideToPharmacologyInteractions
7601	BENZTROPINE	CHEMBL1201203	GuideToPharmacologyInteractions
AURORA KINASE/CDK INHIBITOR			PubChem
1-(5-ISOQUINOLINYLSULFONYL)-2-METHYLPIPERAZINE	CHEMBL323556	CHEMBL323556	PubChem
5692	LAPATINIB	CHEMBL554	GuideToPharmacologyInteractions
NICOTINATE	NIACIN	CHEMBL573	PubChem
DIPIVEFRIN HYDROCHLORIDE	DIPIVEFRIN HYDROCHLORIDE	CHEMBL1200833	PubChem
4222	INS(1,4,5)P3	CHEMBL279107	GuideToPharmacologyInteractions
577	AMPRENAVIR	CHEMBL116	GuideToPharmacologyInteractions
1097	IBUTAMOREN	CHEMBL13817	GuideToPharmacologyInteractions
HIMBACINE	HIMBACINE	CHEMBL277642	PubChem
PD 407824	CHEMBL214253	CHEMBL214253	PubChem
CHEMBL2179529	AZD1446	CHEMBL2179529	ChemblInteractions
OZANIMOD	OZANIMOD	CHEMBL3707247	PubChem
CHEMBL3545365	ALTIRATINIB	CHEMBL3545365	ChemblInteractions
CHLORZOXAZONE	CHLORZOXAZONE	CHEMBL1371	PubChem
VALRUBICIN	VALRUBICIN	CHEMBL1096885	TdgClinicalTrial
OBLIMERSEN	OBLIMERSEN	CHEMBL2108324	PubChem
6367	PERINDOPRIL	CHEMBL1581	GuideToPharmacologyInteractions
UNII-9ZQX4PG68I	DAROTROPIUM	CHEMBL2110584	PubChem
SABCOMELINE	SABCOMELINE	CHEMBL134641	PubChem
9374			GuideToPharmacologyInteractions
5088			GuideToPharmacologyInteractions
8915	CANDICIDIN	CHEMBL1200647	GuideToPharmacologyInteractions
1-METHYLOXY-4-SULFONE-BENZENE	CHEMBL1234479	CHEMBL1234479	PubChem
A-443654	A-443654	CHEMBL379300	PubChem
ST057154	AJMALINE	CHEMBL2105617	PubChem
DCG-IV	CHEMBL284193	CHEMBL284193	PubChem
ABT-639			PubChem
PEMBROLIZUMAB	PEMBROLIZUMAB	CHEMBL3137343	MyCancerGenome
KO-947			CKB
Atezolizumab	ATEZOLIZUMAB	CHEMBL3707227	OncoKB
PF-543	CHEMBL3134157	CHEMBL3134157	PubChem
CHEMBL2109530	ASK-8007	CHEMBL2109530	ChemblInteractions
LENVATINIB MESYLATE	LENVATINIB MESYLATE	CHEMBL2105704	PubChem
FICLATUZUMAB	FICLATUZUMAB	CHEMBL1743018	TALC
4383			GuideToPharmacologyInteractions
242478-38-2	SOLIFENACIN	CHEMBL1734	PubChem
CHEMBL1743071	SIRUKUMAB	CHEMBL1743071	ChemblInteractions
7081-53-0	DOXAPRAM HYDROCHLORIDE	CHEMBL1200876	PubChem
EPIESTRADIOL	ALFATRADIOL	CHEMBL286452	PubChem
RXP-407	CHEMBL1235767	CHEMBL1235767	PubChem
CHLORPHENAMINE MALEATE	CHLORPHENAMINE MALEATE	CHEMBL180454	PubChem
1-(2,5-DIDEOXY-5-PYRROLIDIN-1-YL-BETA-L-ERYTHRO-PENTOFURANOSYL)-5-METHYLPYRIMIDINE-2,4(1H,3H)-DIONE			PubChem
TEBIPENEM	TEBIPENEM	CHEMBL576981	PubChem
8797			GuideToPharmacologyInteractions
ERLOTINIB	ERLOTINIB	CHEMBL553	CIViC
ECONAZOLE NITRATE	ECONAZOLE NITRATE	CHEMBL1201049	PubChem
PHYSOSTIGMINE	PHYSOSTIGMINE	CHEMBL94	TEND
SUNITINIB			PubChem
GW-2580	GW632580X	CHEMBL261849	CIViC
AGS-22M6E	ENFORTUMAB VEDOTIN	CHEMBL3301589	TALC
CATHINE	CATHINE	CHEMBL1412041	PubChem
OLOMOUCINE	OLOMOUCINE	CHEMBL280074	PubChem
TG-101348	FEDRATINIB	CHEMBL1287853	PubChem
CHEMBL2095212	MIRABEGRON	CHEMBL2095212	ChemblInteractions
CVBT-141B			TdgClinicalTrial
931	NAPHTHALENE	CHEMBL16293	GuideToPharmacologyInteractions
ETHYLESTRENOL	ETHYLESTRENOL	CHEMBL1200623	PubChem
9496			GuideToPharmacologyInteractions
CHEMBL3545345	UR-63325	CHEMBL3545345	ChemblInteractions
DCL000021			TTD
DEXBROMPHENIRAMINE	DEXBROMPHENIRAMINE	CHEMBL1201287	PubChem
(2S,4S)-2-AMINO-4,5-EPOXIPENTANOIC ACID			PubChem
CRIZOTINIB	CRIZOTINIB	CHEMBL601719	CancerCommons
EPY			PubChem
1315	CHEMBL2147477	CHEMBL2147477	GuideToPharmacologyInteractions
CHEMBL1743024	GANITUMAB	CHEMBL1743024	ChemblInteractions
2-[[4-[(2-AMINO-5-METHYL-4-OXO-1,6,7,8-TETRAHYDROPTERIDIN-6-YL)METHYLAMINO]BENZOYL]AMINO]PENTANEDIOIC ACID	CHEMBL2358502	CHEMBL2358502	PubChem
3874			GuideToPharmacologyInteractions
CHEMBL17	DICHLORPHENAMIDE	CHEMBL17	ChemblInteractions
TRASTUZUMAB	TRASTUZUMAB	CHEMBL1201585	ClearityFoundationBiomarkers
(1R,3R)-5-[(2E)-3-[(1S,3R)-2,2,3-TRIMETHYL-3-[6,6,6-TRIFLUORO-5-HYDROXY-5-(TRIFLUOROMETHYL)HEX-3-YN-1-YL]CYCLOPENTYL]PROP-2-EN-1-YLIDENE]CYCLOHEXANE-1,3-DIOL			PubChem
CUBICIN, DAPTOMYCIN	DAPTOMYCIN	CHEMBL387675	PubChem
5147	CHEMBL370962	CHEMBL370962	GuideToPharmacologyInteractions
DICHLORPHENAMIDE	DICHLORPHENAMIDE	CHEMBL17	TdgClinicalTrial
ADENOSINE-5'-[BETA, GAMMA-METHYLENE]TRIPHOSPHATE	PHOSPHOMETHYLPHOSPHONIC ACID ADENYLATE ESTER	CHEMBL133463	PubChem
2945			GuideToPharmacologyInteractions
GADOLINIUM(3+)	GADOBENATE DIMEGLUMINE	CHEMBL1200571	PubChem
